CODICE_CATASTALE;COMUNE;NUMERO;DATA_REGOLAMENTO;DATA_PUBBLICAZIONE;PR;REGIONE;FILE_REGOLAMENTO;FILE_DELIBERA;NOTE
I130;SAN POTITO SANNITICO;02;14/03/2024;09/09/2024;CE;Campania;186737_CIMUNIC-04ce24i130d.pdf;186737_CIMUNIC-04ce24i130dAM.pdf;""
M092;VITULAZIO;8;12/03/2024;19/03/2024;CE;Campania;;182219_CIMUNIC-04ce24m092dAM.pdf;"TESTO REGOLAMENTO INSERITO NEL FILE DELLA DELIBERA"
I262;SANT'ANASTASIA;75;20/11/2023;02/01/2024;NA;Campania;178432_CIMUNIC-04na24i262d.pdf;178432_CIMUNIC-04na24i262dAM.pdf;""
B895;CASAL VELINO;8;26/02/2024;21/03/2024;SA;Campania;182246_CIMUNIC-04sa24b895d.pdf;182246_CIMUNIC-04sa24b895dAM.pdf;""
G939;POSTIGLIONE;6;27/04/2023;16/05/2024;SA;Campania;183785_CIMUNIC-04sa24g939d.pdf;183785_CIMUNIC-04sa24g939dAM.pdf;""
A392;ARGELATO;32;20/12/2023;12/01/2024;BO;Emilia romagna;179318_CIMUNIC-05bo24a392d.pdf;179318_CIMUNIC-05bo24a392dAM.pdf;""
B249;BUDRIO;5;01/02/2024;07/11/2024;BO;Emilia romagna;189372_CIMUNIC-05bo24b249d.pdf;189372_CIMUNIC-05bo24b249dAM.pdf;""
B572;CAMUGNANO;31;26/11/2024;10/12/2024;BO;Emilia romagna;;190123_CIMUNIC-05bo24b572dAM.pdf;"TESTO REGOLAMENTO INSERITO NEL FILE DELLA DELIBERA"
B001;BORGHI;21;29/11/2023;28/12/2023;FC;Emilia romagna;178520_CIMUNIC-05fc24b001d.pdf;178520_CIMUNIC-05fc24b001dAM.pdf;""
F139;MERCATO SARACENO;59;20/12/2023;03/04/2024;FC;Emilia romagna;182672_CIMUNIC-05fc24f139d.pdf;182672_CIMUNIC-05fc24f139dAM.pdf;""
M409;TRESIGNANA;50;27/12/2023;23/05/2024;FE;Emilia romagna;184265_CIMUNIC-05fe24m409d.pdf;184265_CIMUNIC-05fe24m409dAM.pdf;""
D711;FORMIGINE;97;19/12/2023;29/01/2024;MO;Emilia romagna;180309_CIMUNIC-05mo24d711d.pdf;180309_CIMUNIC-05mo24d711dAM.pdf;""
L885;VIGNOLA;103;28/12/2023;29/04/2024;MO;Emilia romagna;183363_CIMUNIC-05mo24l885d.pdf;183363_CIMUNIC-05mo24l885dAM.pdf;""
H593;ROTTOFRENO;61;20/12/2023;15/01/2024;PC;Emilia romagna;179504_CIMUNIC-05pc24h593d.pdf;179504_CIMUNIC-05pc24h593dAM.pdf;""
G337;PARMA;71;27/11/2023;14/05/2024;PR;Emilia romagna;183723_CIMUNIC-05pr24g337d.pdf;183723_CIMUNIC-05pr24g337dAM.pdf;""
H294;RIMINI;90;12/12/2023;04/03/2024;RN;Emilia romagna;181766_CIMUNIC-05rn24h294d.pdf;181766_CIMUNIC-05rn24h294dAM.pdf;""
A516;AVIANO;98;28/12/2023;01/02/2024;PN;Friuli venezia giulia;180604_CIMUNIC-06pn24a516d.pdf;180604_CIMUNIC-06pn24a516dAM.pdf;""
A103;AIELLO DEL FRIULI;11;18/04/2024;05/09/2024;UD;Friuli venezia giulia;186598_CIMUNIC-06ud24a103d.pdf;186598_CIMUNIC-06ud24a103dAM.pdf;""
A254;AMARO;32;28/10/2024;04/11/2024;UD;Friuli venezia giulia;189363_CIMUNIC-06ud24a254d.pdf;189363_CIMUNIC-06ud24a254dAM.pdf;""
A267;AMPEZZO;41;29/12/2023;25/01/2024;UD;Friuli venezia giulia;180304_CIMUNIC-06ud24a267d.pdf;180304_CIMUNIC-06ud24a267dAM.pdf;""
A447;ARTA TERME;50;27/12/2023;30/04/2024;UD;Friuli venezia giulia;183400_CIMUNIC-06ud24a447d.pdf;183400_CIMUNIC-06ud24a447dAM.pdf;""
